metric_group,segment,option,count,ratio,denominator
gender,overall,男,1274,0.5598,2276
gender,overall,女,454,0.1995,2276
gender,overall,不方便透露,548,0.2408,2276
q2_content_mindshare_strict,overall,抽卡决策/原石/强度对比,1307,0.5743,2276
q2_content_mindshare_strict,overall,角色配队/养成/手法,1328,0.5835,2276
q2_content_mindshare_strict,overall,探索解谜攻略,646,0.2838,2276
q2_content_mindshare_strict,overall,剧情解析,855,0.3757,2276
q2_content_mindshare_strict,overall,剧情讨论,989,0.4345,2276
q2_content_mindshare_strict,overall,同人,592,0.2601,2276
q2_content_mindshare_strict,overall,游戏外活动,211,0.0927,2276
q2_content_mindshare_strict,overall,周边,464,0.2039,2276
q2_content_mindshare_strict,overall,Cosplay,387,0.17,2276
q2_content_mindshare_expanded,overall,抽卡决策/原石/强度对比,1536,0.6749,2276
q2_content_mindshare_expanded,overall,角色配队/养成/手法,1557,0.6841,2276
q2_content_mindshare_expanded,overall,探索解谜攻略,875,0.3844,2276
q2_content_mindshare_expanded,overall,剧情解析,1084,0.4763,2276
q2_content_mindshare_expanded,overall,剧情讨论,1218,0.5351,2276
q2_content_mindshare_expanded,overall,同人,821,0.3607,2276
q2_content_mindshare_expanded,overall,游戏外活动,440,0.1933,2276
q2_content_mindshare_expanded,overall,周边,693,0.3045,2276
q2_content_mindshare_expanded,overall,Cosplay,616,0.2707,2276
overall_channel_penetration,overall,抖音,959,0.4214,2276
overall_channel_penetration,overall,B站,1319,0.5795,2276
overall_channel_penetration,overall,小红书,343,0.1507,2276
overall_channel_penetration,overall,知乎,49,0.0215,2276
overall_channel_penetration,overall,lofter,127,0.0558,2276
overall_channel_penetration,overall,微博,93,0.0409,2276
overall_channel_penetration,overall,快手,391,0.1718,2276
overall_channel_penetration,overall,小黑盒,204,0.0896,2276
overall_channel_penetration,overall,taptap,190,0.0835,2276
overall_channel_penetration,overall,米游社,1243,0.5461,2276
overall_channel_penetration,overall,NGA,22,0.0097,2276
overall_channel_penetration,overall,百度贴吧,86,0.0378,2276
overall_channel_penetration,overall,QQ频道,147,0.0646,2276
overall_channel_penetration,overall,QQ空间,136,0.0598,2276
overall_channel_penetration,overall,微信、QQ群聊,942,0.4139,2276
overall_first_mindshare,overall,抖音,488,0.2157,2262
overall_first_mindshare,overall,B站,671,0.2966,2262
overall_first_mindshare,overall,小红书,112,0.0495,2262
overall_first_mindshare,overall,知乎,8,0.0035,2262
overall_first_mindshare,overall,lofter,21,0.0093,2262
overall_first_mindshare,overall,微博,4,0.0018,2262
overall_first_mindshare,overall,快手,172,0.076,2262
overall_first_mindshare,overall,小黑盒,18,0.008,2262
overall_first_mindshare,overall,taptap,20,0.0088,2262
overall_first_mindshare,overall,米游社,313,0.1384,2262
overall_first_mindshare,overall,NGA,4,0.0018,2262
overall_first_mindshare,overall,百度贴吧,15,0.0066,2262
overall_first_mindshare,overall,QQ频道,24,0.0106,2262
overall_first_mindshare,overall,QQ空间,12,0.0053,2262
overall_first_mindshare,overall,微信、QQ群聊,380,0.168,2262
scene_channel_penetration,抽卡与原石,抖音,710,0.3741,1898
scene_channel_penetration,抽卡与原石,B站,1038,0.5469,1898
scene_channel_penetration,抽卡与原石,小红书,219,0.1154,1898
scene_channel_penetration,抽卡与原石,知乎,13,0.0068,1898
scene_channel_penetration,抽卡与原石,lofter,28,0.0148,1898
